verso,vsid,latin,AB,AEP,JL,LLA,MAC,NPC,PF,RBN
295,tzu_f5o_iqt,ipsos,∅,OM,∅,OM,OM,OM,sem,∅
295,p1w_ktj_zwm,contractus,∅,sem,∅,sem,sem,sem,sem,∅
295,hwn_bdl_t2c,usus,∅,sem,∅,∅,sem,sem,rep+sem,∅
296,f2k_qxv_a24,eligitur,∅,sem,∅,sint,sint,sem,OM,∅
296,qnb_tal_s1u,locus,∅,sem,∅,OM,∅,OM,sem,∅
296,qvc_a7i_zq9,angustique,∅,sem,∅,OM,∅,sem,sem,∅
296,h8w_adj_mnu,imbrice,∅,sem,∅,sem,sem,sem,sem,∅
296,teb_ohj_bob,tecti,∅,sem,∅,sem,sem,sem,sem,∅
297,b7b_z5u_ysv,parietibusque,∅,sem,∅,sem,sem,OM,sem,∅
297,a33_e5w_h42,premunt,∅,OM,∅,sem,sem,OM,sem,∅
297,jqi_a28_rn4,artis,∅,sem,∅,OM,sem,sem,OM,∅
297,qin_hmv_f3q,quattuor,∅,OM,∅,∅,∅,∅,∅,∅
297,gc3_vzf_s2c,addunt,∅,∅,met,∅,∅,∅,∅,∅
298,wlf_z4h_u9v,quattuor,∅,∅,∅,OM,∅,OM,OM,∅
298,ekp_wxf_s2c,a,∅,sem,∅,∅,∅,∅,sem,∅
298,udj_woo_bcd,ventis,∅,sem,∅,∅,∅,sem,∅,∅
298,kb0_csq_vt8,obliqua,∅,∅,∅,∅,∅,∅,∅,∅
298,dwp_jof_z4g,luce,∅,sem,∅,sem,sem,sem,∅,∅
298,xog_lds_aox,fenestras,∅,∅,∅,sem,∅,sem,sem,∅
299,o4m_xzf_s2c,Tum,∅,OM,∅,∅,∅,OM,∅,OM
299,k6h_ih6_dsx,vitulus,∅,∅,∅,sem,sem,sem,sem,∅
299,gsn_sbc_cx4,bima,∅,∅,∅,∅,∅,∅,∅,∅
299,b99_y5x_lrq,curvans,∅,∅,∅,∅,∅,sem,sem,∅
299,l79_nwo_xct,iam,∅,OM,∅,OM,∅,sem,OM,∅
299,uqi_z66_bgp,cornua,∅,∅,∅,∅,sem,∅,sem,∅
299,spz_rlx_ge3,fronte,∅,sem,∅,sem,∅,OM,sem,∅
300,dvj_ifm_wnf,quaeritur,∅,sem,∅,sem,sem,sem,OM,∅
300,s7q_zf8_fw7,geminae,∅,OM,∅,OM,∅,OM,OM,∅
300,lz8_fan_mxn,nares,∅,∅,∅,∅,∅,∅,∅,∅
300,d4s_msg_s2c,spiritus,∅,sem,met,OM,∅,OM,∅,∅
300,ahc_gp7_av9,oris,∅,∅,∅,∅,sem,sem,sem,∅
301,wzp_fi2_gq0,multă,∅,OM,∅,OM,OM,OM,OM,∅
301,kcp_p45_e7s,reluctanti,∅,sem,∅,OM,sem,sem,sem,∅
301,yop_m1l_qpq,obstruitur,∅,sem,∅,sem,sem,sem,sem,∅
301,wkm_nta_lw6,plagisque,∅,sem,∅,OM,sem,OM,OM,∅
301,qvs_jng_ofx,perempto,∅,sem,∅,sem,sem,sem,OM,∅
302,xuc_e78_ptb,tunsa,∅,sem,∅,OM,sem,sem,sem,∅
302,h23_xsg_s2c,integram,∅,met,∅,sem,∅,OM,∅,∅
302,rrd_yee_h2r,solvuntur,∅,OM,∅,sem,sem,sem,sem,∅
302,gqq_ctg_s2c,viscera,∅,∅,∅,∅,∅,sema,∅,∅
302,vco_vm9_zzm,pellem,∅,sem,∅,sem,∅,sem,∅,∅
303,gm9_bnk_g0q,positum,∅,sem,∅,OM,sem,OM,sem,∅
303,dni_yrp_s85,clauso,∅,sem,∅,sem,∅,OM,sem,∅
303,ar9_q65_j07,linquunt,∅,∅,∅,sem,∅,sem,∅,∅
303,j8w_sbx_ba8,ramea,∅,sem,∅,sem,∅,sem,sem,∅
303,l9k_wpw_hwu,costis,∅,OM,∅,OM,OM,OM,OM,∅
304,cd5_p2n_ozb,subiciunt,∅,sem,∅,OM,OM,OM,sem,∅
304,yon_kq9_qyt,fragmenta,∅,sem,∅,sem,sem,OM,sem,∅
304,cga_ku5_uul,thymum,∅,∅,∅,∅,∅,∅,∅,∅
304,dyq_z2g_s2c,casias,∅,sem,∅,∅,∅,∅,sem,∅
304,mzn_rzh_i3y,recentes,∅,∅,∅,sem,∅,OM,sem,∅
305,ln9_emi_ta3,Hoc,∅,∅,∅,sem,sem,sem,sem,∅
305,mgy_ych_kep,geritur,∅,sem,∅,sem,sem,sem,sem,∅
305,lgo_hu1_gnf,Zephyris,∅,∅,∅,∅,∅,sem,sem,∅
305,dh4_3lb_s2c,primum,∅,sem,∅,∅,sem,OM,∅,∅
305,xc6_ehz_ojj,impellentibus,∅,sem,∅,sem,sem,sem,sem,∅
305,xu2_y2p_qw9,undas,∅,∅,∅,sem,∅,sem,∅,∅
306,i2d_oct_im9,novis,∅,sem,∅,OM,∅,OM,OM,∅
306,od2_ezl_jr2,rubeant,∅,sem,∅,sem,sem,sem,sem,∅
306,b2k_vtp_coh,prata,∅,∅,∅,OM,∅,∅,sem,∅
306,oht_f95_mhg,coloribus,∅,sem,∅,OM,sem,OM,sem,∅
307,ni1_sqx_s39,garrula,∅,sem,∅,sem,∅,sem,sem,∅
307,fmv_wgc_mx0,tignis,∅,sem,∅,sem,OM,sem,sem,∅
307,aw6_u2m_fwm,nidum,∅,∅,∅,∅,∅,∅,∅,∅
307,rpi_up4_mkx,suspendat,∅,∅,∅,∅,∅,∅,∅,∅
307,ibw_zxh_ocl,hirundo,∅,∅,∅,∅,∅,∅,∅,∅
308,vt5_gvg_s2c,Interea,∅,∅,∅,sem,∅,sem,∅,∅
308,xja_aeq_g55,teneris,∅,sem,∅,sem,sem,OM,∅,∅
308,y7c_r2y_kp2,tepefactus,∅,sem,∅,sem,sem,sem,sem,∅
308,hbj_r88_i54,ossibus,∅,∅,∅,∅,∅,OM,sem,∅
308,ne2_gpv_i46,umor,∅,∅,∅,sem,∅,OM,sem,∅
309,xz4_sgg_s2c,aestuat,semd,rep+sem,∅,∅,sem,sem,∅,sem
309,lji_k8c_nz9,visenda,∅,sem,∅,OM,sem,OM,sem,∅
309,zkb_yns_af2,modis,∅,sem,∅,sem,∅,sem,sem,∅
309,hyq_ikv_bf6,animalia,∅,sem,∅,sem,∅,sem,∅,∅
309,emz_kmb_s2c,miris,∅,sem,sem,sem,sem,∅,∅,∅
